2,260
6,178170
8,171757
10,180427
12,178565
36,64
39,12
40,16
41,40
42,73
43,132
44,849
45,1
46,3
47,42
48,19
50,4
52,8
53,35
54,13
56,23
58,48
60,28
62,93
64,52
66,506
68,149
70,1374
72,694
91,178
93,27
95,94
97,138
99,1802
101,953
103,1629
105,784
107,587
109,2615
111,16831
197,149
199,43
201,12
203,21
205,38
207,1701
209,881
211,1544
213,664
215,480
217,2357
219,32023
221,25
223,434
225,1098
227,21
229,2
231,286
233,67
235,973
237,901
239,901
241,1031
243,919
245,1820
247,56
249,61
251,13
253,18
255,37
257,1740
259,910
261,1611
263,656
265,440
267,2370
269,32455
288,241
299,408
301,40
303,468
305,94
307,47
309,37
311,186
313,4
314,19
317,5
319,18
321,6
325,25
331,122
335,77
339,59
341,31
345,116
347,121
349,135
351,134
353,13
355,23
359,128
361,177
363,294
365,204
371,290
373,287
379,193
383,524
385,587
389,2077
391,2360
395,2271
397,2500
401,412
403,178
405,3013
407,35
411,24
413,691
434,156
436,67
438,32
440,164
442,134
444,323
447,439
449,1714
451,10321
453,218
464,250
528,413
530,413
532,452
534,867
536,2739
555,7
556,9
557,8
558,5
559,5
560,387
561,117
562,52
563,215
564,209
565,335
566,132
567,540
569,1948
571,1625
573,1790
575,1965
577,1162
581,717
590,112
592,249
596,1
598,204
600,745
626,626
628,432
630,654
632,678
634,224
636,274
638,235
640,414
642,419
644,72
646,225
648,198
650,438
652,345
654,80
656,611
658,480
660,516
662,1073
664,285
753,85
800,6
801,13
802,59
803,140
804,152
805,290
806,41
807,43
808,24
809,38
810,54
811,111
812,41
813,43
814,24
815,38
816,54
817,111
819,27
820,26
821,74
822,116
823,205
824,556
825,7
826,3
827,19
828,28
829,57
830,252
831,7
832,3
833,19
834,28
835,57
836,252
837,285
839,95
841,57
843,30
845,96
847,137
849,91
851,303
853,237
855,670
857,398
859,1441
861,905
863,58
864,54
865,95
866,194
867,370
868,1226
869,74
870,54
871,58
872,95
873,194
874,74
875,370
876,1226
877,10
878,10
879,6
880,38
881,55
882,8
883,8
884,8
885,8
886,19
887,19
888,24
889,24
890,87
891,87
892,196
893,196
942,204
948,86
950,20
954,109
958,37
960,302
962,1977646379
970,200
973,255
975,265
981,255754845
983,574
985,17354
987,14218
989,33179
991,3850
993,35263
1005,138
1009,87
1011,226
1013,253
1015,78
1038,1205602743
1040,935717295
1042,2147483647
1044,1091361155
1046,848088010
1048,1645956624
1050,92622468
1053,79902217
1055,93997265
1057,129288184
1059,14
1061,228
1063,10
1065,1408
1067,66
1069,460
1071,1396
1073,3678
1075,16
1077,1963
1079,38000
1081,145
1083,469
1085,1414
1087,71
1089,2388
1091,3829
1093,37560
1095,6
1097,365
1099,2226
1101,63
1103,58
1105,320
1107,875
1109,1004
1111,2760
1113,29464
1115,339
1117,38
1119,1083
1121,2998
1123,9796
1125,4248
1127,38738
1129,50
1131,46
1133,428
1135,4568
1137,20
1139,61
1141,81
1143,342
1145,1027
1147,11267
1149,59285
1151,848
1153,28
1155,35
1157,211
1159,713
1161,1886
1163,20864
1165,647
1167,12
1169,60
1171,788
1173,25
1175,31
1177,224
1179,558
1181,763
1183,2128
1185,22695
1187,316692
1189,27
1191,56
1193,384
1195,2801
1197,1126
1199,3083
1201,32422
1203,19
1205,81
1207,25
1209,78
1211,346
1213,4540
1215,17329
1217,96
1219,19
1221,81
1223,25
1225,78
1227,346
1229,4540
1231,17329
1233,96
1237,271
